T, S, P
2, yoko, 29.36
0.0001227855682373047, yoko, 28.47
2.000140905380249, yoko, 33.09
3.999913454055786, yoko, 29.81
6.0001540184021, yoko, 29.68
7.99998664855957, yoko, 28.79
9.99964690208435, yoko, 36.17
11.999616384506226, yoko, 55.57
13.999593734741211, yoko, 57.21
15.999572515487671, yoko, 55.36
17.99954581260681, yoko, 57.14
19.99956488609314, yoko, 29.84
21.99959969520569, yoko, 31.82
23.999624729156494, yoko, 29.54
25.999617338180542, yoko, 29.4
27.99958562850952, yoko, 29.44
29.999355792999268, yoko, 29.37
31.99946403503418, yoko, 33.1
33.99927520751953, yoko, 29.54
35.99910092353821, yoko, 63.72
37.9990713596344, yoko, 73.18
39.99904775619507, yoko, 71.92
41.999032497406006, yoko, 73.46
43.99888229370117, yoko, 71.64
45.99916934967041, yoko, 28.49
47.99905824661255, yoko, 28.8
49.99919295310974, yoko, 28.5
51.998998165130615, yoko, 32.23
53.99893116950989, yoko, 29.51
55.9987051486969, yoko, 30.33
57.99857807159424, yoko, 95.04
59.99855303764343, yoko, 95.26
61.99853038787842, yoko, 96.79
63.99850511550903, yoko, 95.62
65.99850940704346, yoko, 77.76
67.99891185760498, yoko, 34.57
69.9985420703888, yoko, 30.01
71.99849915504456, yoko, 29.3
73.99849605560303, yoko, 29.33
75.99847459793091, yoko, 29.33
77.99846911430359, yoko, 29.51
79.99840688705444, yoko, 29.82
81.99834251403809, yoko, 36.14
83.99825930595398, yoko, 28.75
85.99832510948181, yoko, 28.93
87.998379945755, yoko, 29.11
89.99807786941528, yoko, 28.73
91.99813675880432, yoko, 47.7
93.99797821044922, yoko, 61.81
95.99800157546997, yoko, 61.6
97.99796652793884, yoko, 59.25
99.99792861938477, yoko, 31.07
101.99803876876831, yoko, 33.67
103.99793529510498, yoko, 29.85
105.99785780906677, yoko, 29.6
107.9979076385498, yoko, 29.64
109.99777460098267, yoko, 30.75
